 &SRS
 SRSRUN=14763,SRSDAT=201364,SRSTIM=03110,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
-1.7000	1.3456	  0.00
-1.6980	1.3456	  0.00
-1.6959	1.3461	  0.00
-1.6941	1.3460	  0.00
-1.6920	1.3457	  0.00
-1.6900	1.3457	  0.00
-1.6880	1.3457	  0.00
-1.6860	1.3453	  0.00
-1.6840	1.3455	  0.00
-1.6820	1.3456	  0.00
-1.6799	1.3460	  0.00
-1.6779	1.3460	  0.00
-1.6760	1.3459	  0.00
-1.6740	1.3460	  0.00
-1.6720	1.3456	  0.00
-1.6701	1.3454	  0.00
-1.6680	1.3452	  0.00
-1.6660	1.3461	  0.00
-1.6640	1.3459	  0.00
-1.6620	1.3457	  0.00
-1.6600	1.3453	  0.00
-1.6579	1.3449	  0.00
-1.6559	1.3450	  0.00
-1.6539	1.3454	  0.00
-1.6520	1.3452	  0.00
-1.6500	1.3444	  0.00
-1.6481	1.3446	  0.00
-1.6460	1.3448	  0.00
-1.6440	1.3448	  0.00
-1.6420	1.3446	  0.00
-1.6400	1.3445	  0.00
-1.6380	1.3443	  0.00
-1.6360	1.3442	  0.00
-1.6341	1.3441	  0.00
-1.6320	1.3441	  0.00
-1.6300	1.3437	  0.00
-1.6281	1.3437	  0.00
-1.6259	1.3436	  0.00
-1.6240	1.3430	  0.00
-1.6220	1.3424	  0.00
-1.6200	1.3423	  0.00
-1.6178	1.3417	  0.00
-1.6155	1.3417	  0.00
-1.6141	1.3415	  0.00
-1.6120	1.3405	  0.00
-1.6099	1.3400	  0.00
-1.6080	1.3393	  0.00
-1.6060	1.3386	  0.00
-1.6040	1.3376	  0.00
-1.6020	1.3371	  0.00
-1.6001	1.3360	  0.00
-1.5980	1.3351	  0.00
-1.5960	1.3337	  0.00
-1.5940	1.3319	  0.00
-1.5920	1.3306	  0.00
-1.5900	1.3285	  0.00
-1.5881	1.3257	  0.00
-1.5861	1.3230	  0.00
-1.5840	1.3205	  0.00
-1.5820	1.3179	  0.00
-1.5800	1.3147	  0.00
-1.5779	1.3108	  0.00
-1.5760	1.3062	  0.00
-1.5740	1.3015	  0.00
-1.5720	1.2962	  0.00
-1.5700	1.2909	  0.00
-1.5680	1.2848	  0.00
-1.5660	1.2784	  0.00
-1.5640	1.2709	  0.00
-1.5620	1.2625	  0.00
-1.5600	1.2539	  0.00
-1.5580	1.2444	  0.00
-1.5559	1.2333	  0.00
-1.5541	1.2223	  0.00
