day       date  hr qty type
Mon  10-5-2015  11   4   G
Mon  10-5-2015  13  11   G
Tue  10-6-2015   8   0   X
Wed  10-7-2015   8   1   P
Wed  10-7-2015  13   2   G
Wed  10-7-2015  15   1   G
Wed  10-7-2015  16   2   G
Thu  10-8-2015  14   3   W
Thu  10-8-2015  14   2   G
Thu  10-8-2015  14   1   P
Thu  10-8-2015  20   1   W
Fri  10-9-2015  15   2   W
Fri  10-9-2015  15   2   G
Fri  10-9-2015  22   2   W
Fri  10-9-2015  22   1   P
Sat 10-10-2015  21   2   W
Sat 10-10-2015  23   4   W
Sat 10-10-2015  23   1   G
Sat 10-10-2015  24   2   W
Sat 10-10-2015  24   1   G
Sun 10-11-2015  10   3   W
Sun 10-11-2015  10   1   G
Sun 10-11-2015  12   2   G
Sun 10-11-2015  12   3   P
Sun 10-11-2015  16   2   W
Sun 10-11-2015  16   1   G
Sun 10-11-2015  16   1   P
Sun 10-11-2015  22   1   G
Sun 10-11-2015  24   1   G
Mon 10-12-2015  12   1   G
Mon 10-12-2015  21   2   G
Mon 10-12-2015  23   1   W
Tue 10-13-2015   8   1   G
Tue 10-13-2015   9   1   G
Tue 10-13-2015  15   3   G
Tue 10-13-2015  15   2   P
Tue 10-13-2015  22   2   W
Wed 10-14-2015  15   1   P
Wed 10-14-2015  15   2   G
Wed 10-14-2015  23   1   P
Thu 10-15-2015  18   2   G
Fri 10-16-2015   8   2   G
Fri 10-16-2015   8   1   P
Fri 10-16-2015  11   2   G
Fri 10-16-2015  14   9   W
Fri 10-16-2015  16   1   P
Fri 10-16-2015  16   1   G
Sat 10-17-2015  11   1   G
Sat 10-17-2015  17   1   G
Sat 10-17-2015  17   1   G
Sat 10-17-2015  22   1   G
Sat 10-17-2015  22   1   G
Sat 10-17-2015  22   1   G
Sat 10-17-2015  11   6   G
Sun 10-18-2015   0   0   X
Mon 10-19-2015   8   5   P
Mon 10-19-2015  11   2   P
Mon 10-19-2015  11   3   G
Mon 10-19-2015  15   5   P
Mon 10-19-2015  15   1   W
Mon 10-19-2015  20   1   G
Tue 10-20-2015  15   4   P
Tue 10-20-2015  15   4   G
Tue 10-20-2015  15   1   W
Tue 10-20-2015  23   1   P
Tue 10-20-2015  23   1   G
Wed 10-21-2015   8   1   W
Wed 10-21-2015  15   2   W
Thu 10-22-2015  12   1   P
Thu 10-22-2015  12   2   G
Thu 10-22-2015  12   1   W
Thu 10-22-2015  14   4   P
Thu 10-22-2015  14   5   G
Thu 10-22-2015  14   1   W
Thu 10-22-2015  21   2   W
Thu 10-22-2015  21   1   P
Thu 10-22-2015  23   3   P
Thu 10-22-2015  23   1   G
Fri 10-23-2015  12   2   P
Fri 10-23-2015  12   2   G
Fri 10-23-2015  12   1   S
Fri 10-23-2015  12   1   N
Fri 10-23-2015  14   1   S
Fri 10-23-2015  14   1   N
Fri 10-23-2015  16   1   P
Fri 10-23-2015  16   2   G
Fri 10-23-2015  19   1   P
Fri 10-23-2015  23   1   P
Fri 10-23-2015  23   1   G
Fri 10-23-2015  23   1   W
Sat 10-24-2015   8   1   P
Sat 10-24-2015  14   5   G
Sat 10-24-2015  22   1   N
Sat 10-24-2015  23   1   G
Sun 10-25-2015  11   2   P
Sun 10-25-2015  14   1   P
Sun 10-25-2015  14   2   G
Mon 10-26-2015  15   3   P
Mon 10-26-2015  21   1   G
Mon 10-26-2015  21   3   P
Tue 10-27-2015  12   1   G
Tue 10-27-2015  14   2   P
Tue 10-27-2015  14   1   G
Wed 10-28-2015  10   4   G
Wed 10-28-2015  10   1   N
Wed 10-28-2015  11   1   N
Thu 10-29-2015   9   6   P
Thu 10-29-2015   9   2   G
Thu 10-29-2015   9   2   W
Fri 10-30-2015   0   0   X
Sat 10-31-2015  16   2   P
Sat 10-31-2015  16   4   G
Sat 10-31-2015  19   3   G
Sat 10-31-2015  19   1   W
Sun  11-1-2015  11   5   W
Sun  11-1-2015  11   3   G
Sun  11-1-2015  16   1   P
Sun  11-1-2015  16   1   W
Mon  11-2-2015  18   3   G
Mon  11-2-2015  18   2   P
Tue  11-3-2015   9   1   G
Tue  11-3-2015  11   1   G
Tue  11-3-2015  14   1   G
Wed  11-4-2015  13   1   G
Thu  11-5-2015  22   3   W
Thu  11-5-2015  22   4   G
Thu  11-5-2015  22   1   N
Thu  11-5-2015  24   1   W
Fri  11-6-2015   9   1   G
Fri  11-6-2015  12   2   P
Fri  11-6-2015  12   1   G
Fri  11-6-2015  14   1   P
Fri  11-6-2015  14   1   G
Fri  11-6-2015  16   3   P
Fri  11-6-2015  16   3   G
Fri  11-6-2015  16   1   N
Fri  11-6-2015  20   1   P
Fri  11-6-2015  20   1   G
Fri  11-6-2015  24   3   P
Sat  11-7-2015  10   1   P
Sat  11-7-2015  13   1   P
Sat  11-7-2015  14  12   P
Sat  11-7-2015  14   1   G
Sat  11-7-2015  16   4   G
Sat  11-7-2015  17   2   W
Sat  11-7-2015  17   2   G
Sat  11-7-2015  21   3   W
Sat  11-7-2015  23   3   P
Sat  11-7-2015  23   3   G
Sat  11-7-2015  23   1   W
Sun  11-8-2015   9   1   W
Sun  11-8-2015  10   1   W
Sun  11-8-2015  16   2   P
Sun  11-8-2015  16   3   G
Sun  11-8-2015  19   6   P
Sun  11-8-2015  19   4   G
Mon  11-9-2015  11   1   G
Mon  11-9-2015  11   1   W
Mon  11-9-2015  17   1   G
Tue 11-10-2015   0   0   X
Wed 11-11-2015  14   1   G
Wed 11-11-2015  14   1   P
Wed 11-11-2015  16   1   G
Wed 11-11-2015  18   2   G
Wed 11-11-2015  23   7   G
Thu 11-12-2015  10   2   P
Thu 11-12-2015  10   1   G
Thu 11-12-2015  10   3   W
Thu 11-12-2015  14   1   G
Thu 11-12-2015  16   2   P
Thu 11-12-2015  16   1   G
Fri 11-13-2015  17   1   W
Fri 11-13-2015  23   1   G
Sat 11-14-2015  15   1   G
Sun 11-15-2015  11  11   G
Mon 11-16-2015   8  10   G
Mon 11-16-2015   9   1   G
Mon 11-16-2015   9   1   N
Mon 11-16-2015  11   1   N
Mon 11-16-2015  14   1   G
Mon 11-16-2015  14   1   N
Thu 11-17-2015   0   0   X
Wed 11-18-2015   8   3   G
Wed 11-18-2015   8   1   W
Thu 11-19-2015  12   2   G
Thu 11-19-2015  12   1   W
Thu 11-19-2015  13   1   P
Thu 11-19-2015  13   1   G
Thu 11-19-2015  14   2   P
Thu 11-19-2015  20   2   P
Thu 11-19-2015  20   2   G
Thu 11-19-2015  20   2   W
Fri 11-20-2015  21   2   P
Fri 11-20-2015  21   3   G
Fri 11-20-2015  21   1   W
Sat 11-21-2015  12   5   G
Sat 11-21-2015  12   1   W
Sat 11-21-2015  23   2   G
Sat 11-21-2015  23   1   W
Sun 11-22-2015  13   1   P
Sun 11-22-2015  13   1   W
Sun 11-22-2015  15   1   P
Sun 11-22-2015  19   1   P
Sun 11-22-2015  23   1   P
Sun 11-22-2015  23   1   G
Mon 11-23-2015  10   2   P
Mon 11-23-2015  10   2   G
Mon 11-23-2015  10   1   W
Mon 11-23-2015  22   1   G
Tue 11-24-2015  22   1   G


















