site_id,longitude,latitude,State,County,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,full_timeseries_directory,full_timeseries_path
0,-117.14726,23.51041,Unknown,Unknown,1,offshore,16,6.07,0.169,0,0/0.nc
1,-93.946777,24.007446,Unknown,Unknown,1,offshore,16,7.43,0.302,0,0/1.nc
2,-97.482483,25.069138,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/2.nc
3,-97.463135,25.069443,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/3.nc
4,-97.443756,25.069763,Unknown,Unknown,1,offshore,16,8.19,0.376,0,0/4.nc
5,-97.424377,25.070091,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/5.nc
6,-97.404999,25.070404,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/6.nc
7,-97.482849,25.086678,Unknown,Unknown,1,offshore,16,8.18,0.375,0,0/7.nc
8,-97.46347,25.087006,Unknown,Unknown,1,offshore,16,8.19,0.376,0,0/8.nc
9,-97.444092,25.087318,Unknown,Unknown,1,offshore,16,8.19,0.376,0,0/9.nc
10,-97.424713,25.087639,Unknown,Unknown,1,offshore,16,8.19,0.376,0,0/10.nc
11,-97.405334,25.087952,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/11.nc
12,-97.483215,25.104233,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/12.nc
13,-97.463837,25.104553,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/13.nc
14,-97.444458,25.104874,Unknown,Unknown,1,offshore,16,8.2,0.376,0,0/14.nc
15,-97.425049,25.105179,Unknown,Unknown,1,offshore,16,8.2,0.376,0,0/15.nc
16,-97.40567,25.105492,Unknown,Unknown,1,offshore,16,8.2,0.375,0,0/16.nc
17,-97.483582,25.121788,Unknown,Unknown,1,offshore,16,8.21,0.376,0,0/17.nc
18,-97.464172,25.122116,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/18.nc
19,-97.444794,25.122429,Unknown,Unknown,1,offshore,16,8.19,0.376,0,0/19.nc
20,-97.425415,25.122742,Unknown,Unknown,1,offshore,16,8.2,0.376,0,0/20.nc
21,-97.406006,25.123039,Unknown,Unknown,1,offshore,16,8.2,0.376,0,0/21.nc
22,-97.347839,25.123955,Unknown,Unknown,1,offshore,16,8.19,0.374,0,0/22.nc
23,-97.328461,25.124245,Unknown,Unknown,1,offshore,16,8.19,0.374,0,0/23.nc
24,-97.483948,25.139336,Unknown,Unknown,1,offshore,16,8.22,0.377,0,0/24.nc
25,-97.464539,25.139671,Unknown,Unknown,1,offshore,16,8.18,0.374,0,0/25.nc
26,-97.445129,25.139984,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/26.nc
27,-97.425751,25.140297,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/27.nc
28,-97.406372,25.140617,Unknown,Unknown,1,offshore,16,8.2,0.376,0,0/28.nc
29,-97.348175,25.14151,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/29.nc
30,-97.328796,25.141808,Unknown,Unknown,1,offshore,16,8.19,0.374,0,0/30.nc
31,-97.348511,25.159088,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/31.nc
32,-97.329102,25.15937,Unknown,Unknown,1,offshore,16,8.19,0.374,0,0/32.nc
33,-97.309692,25.15966,Unknown,Unknown,1,offshore,16,8.19,0.373,0,0/33.nc
34,-97.348816,25.176628,Unknown,Unknown,1,offshore,16,8.19,0.375,0,0/34.nc
35,-97.329407,25.176926,Unknown,Unknown,1,offshore,16,8.19,0.374,0,0/35.nc
36,-97.310028,25.177216,Unknown,Unknown,1,offshore,16,8.19,0.374,0,0/36.nc
37,-97.329742,25.194481,Unknown,Unknown,1,offshore,16,8.19,0.374,0,0/37.nc
38,-97.310333,25.194771,Unknown,Unknown,1,offshore,16,8.19,0.373,0,0/38.nc
39,-97.290924,25.195061,Unknown,Unknown,1,offshore,16,8.18,0.373,0,0/39.nc
40,-97.408752,25.26355,Unknown,Unknown,1,offshore,16,8.18,0.373,0,0/40.nc
41,-97.389313,25.263863,Unknown,Unknown,1,offshore,16,8.17,0.372,0,0/41.nc
42,-97.350464,25.264458,Unknown,Unknown,1,offshore,16,8.17,0.373,0,0/42.nc
43,-97.331055,25.264755,Unknown,Unknown,1,offshore,16,8.17,0.373,0,0/43.nc
44,-97.409088,25.281128,Unknown,Unknown,1,offshore,16,8.2,0.374,0,0/44.nc
45,-97.389648,25.281425,Unknown,Unknown,1,offshore,16,8.15,0.371,0,0/45.nc
46,-97.3508,25.282036,Unknown,Unknown,1,offshore,16,8.16,0.372,0,0/46.nc
47,-97.33136,25.282326,Unknown,Unknown,1,offshore,16,8.17,0.372,0,0/47.nc
48,-97.428864,25.29837,Unknown,Unknown,1,offshore,16,8.18,0.373,0,0/48.nc
49,-97.409424,25.298691,Unknown,Unknown,1,offshore,16,8.2,0.373,0,0/49.nc
50,-97.389984,25.299004,Unknown,Unknown,1,offshore,16,8.15,0.37,0,0/50.nc
51,-97.370544,25.299309,Unknown,Unknown,1,offshore,16,8.15,0.37,0,0/51.nc
52,-97.351135,25.299599,Unknown,Unknown,1,offshore,16,8.15,0.37,0,0/52.nc
53,-97.331665,25.299896,Unknown,Unknown,1,offshore,16,8.16,0.371,0,0/53.nc
