board,NS,EW,bid,by,lead,tricks,score,NS_pts,EW_pts
1,3,4,4♠,S,A♦,11,450,150,12
1,7,8,4♠,N,K♥,9,-50,6,156
1,11,12,4♠,N,K♥,10,420,98,64
1,15,16,3♠,S,6♠,10,170,31,131
1,19,20,4♠,S,A♥,10,420,98,64
1,23,24,4♠,N,K♥,10,420,98,64
1,27,28,4♠,S,6♥,10,420,98,64
1,31,32,4♠,S,6♥,9,-50,6,156
1,35,36,4♠,N,K♥,10,420,98,64
1,39,40,4♠,S,7♥,10,420,98,64
1,43,44,2♠,S,6♥,10,170,31,131
1,47,48,4♠,S,6♥,10,420,98,64
1,51,52,4♠,S,6♥,10,420,98,64
1,55,56,4♠,S,6♥,10,420,98,64
1,59,60,2♠,S,6♥,10,170,31,131
1,63,64,4♠,N,K♥,10,420,98,64
1,67,68,4♠,S,6♥,10,420,98,64
1,71,72,4♠,S,6♥,10,420,98,64
1,75,76,4♠,S,7♥,10,420,98,64
1,79,80,4♠,N,6♦,11,450,150,12
1,83,84,4♠,S,6♥,10,420,98,64
1,87,88,4♠,S,6♥,10,420,98,64
1,91,92,4♠*,N,6♦,10,590,160,2
1,95,96,5♥*,E,A♠,9,300,47,115
1,99,100,3♠,S,6♥,10,170,31,131
1,103,104,4♠,S,6♥,11,450,150,12
1,107,108,4♠,S,6♥,10,420,98,64
1,111,112,4♠,S,7♥,10,420,98,64
1,115,116,3♠,N,K♥,10,170,31,131
1,119,120,4♠,S,A♦,11,450,150,12
1,123,124,4♠,S,6♥,10,420,98,64
1,127,128,4♠,S,6♥,10,420,98,64
1,131,132,4♠,N,K♥,10,420,98,64
1,135,136,3♠,S,6♥,10,170,31,131
1,139,140,5♥*,E,7♣,9,300,47,115
1,143,144,4♠,N,K♥,10,420,98,64
1,147,148,4♠,S,6♥,10,420,98,64
1,151,152,4♠,S,J♥,10,420,98,64
1,155,156,4♠,N,6♥,10,420,98,64
1,159,160,5♥*,E,A♠,8,500,156,6
1,163,164,4♠,N,K♥,10,420,98,64
1,1,2,4♠,N,K♥,10,420,98,64
1,5,6,4♠,S,6♥,10,420,98,64
1,9,10,4♠,S,6♥,10,420,98,64
1,13,14,5♥,E,K♦,9,100,18,144
1,17,18,3♠,N,K♥,10,170,31,131
1,21,22,2♠,S,7♥,10,170,31,131
1,25,26,4♠,S,6♥,10,420,98,64
1,29,30,4♠,N,K♥,9,-50,6,156
1,33,34,4♠,S,J♥,10,420,98,64
1,37,38,4♠,S,6♥,10,420,98,64
1,41,42,2♠,S,6♥,10,170,31,131
1,45,46,4♠,N,K♥,10,420,98,64
1,49,50,4♠*,S,6♥,10,590,160,2
1,53,54,5♥*,E,Q♦,9,300,47,115
1,57,58,4♠,S,J♥,11,450,150,12
1,61,62,4♠,N,K♥,10,420,98,64
1,65,66,4♠,S,J♥,10,420,98,64
1,69,70,4♠,S,J♥,10,420,98,64
1,73,74,4♠,S,J♥,10,420,98,64
1,77,78,3♠,S,6♥,10,170,31,131
1,81,82,4♠,S,7♥,9,-50,6,156
1,85,86,4♠,S,J♥,9,-50,6,156
1,89,90,4♠,N,K♥,10,420,98,64
1,93,94,4♠,S,6♥,10,420,98,64
1,97,98,3♠,S,6♥,10,170,31,131
1,101,102,4♠,N,K♥,10,420,98,64
1,105,106,4♥,E,K♦,9,50,15,147
1,109,110,4♠,S,6♥,10,420,98,64
